Type,Benefit per order,Sales per customer,Order City,Order Country,Order Customer Id,order date (DateOrders),Order Id,Order Item Cardprod Id,product id,Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order Status
debit,4.57,123.49,Kanpur,India,702,2/14/2016,28036,403,70143,0.04,1,129.9900055,123.49,4.57,south asia,complete
payment,-146.6,200,Bobigny,Francia,724,6/24/2015,11936,502,29833,-0.73,4,200,200,-146.6,western europe,pending payment
debit,9.5,110.49,Rasht,Irán,822,1/6/2017,50466,403,126101,0.09,1,129.9900055,110.49,9.5,south asia,complete
debit,-44.99,299.95,Madrid,España,1063,9/11/2015,17386,365,43448,-0.15,5,299.9500122,299.95,-44.99,southern europe,complete
transfer,-7.76,77.58,Zhuhai,China,1067,2/8/2016,27647,627,69211,-0.1,2,79.98000336,77.58,-7.76,eastern asia,processing
payment,-148.8,186,Tamworth,Reino Unido,1086,7/20/2015,13736,502,34400,-0.8,4,200,186,-148.8,northern europe,pending payment
transfer,31.5,84,Jambi,Indonesia,1144,3/11/2016,29862,502,74708,0.38,2,100,84,31.5,southeast asia,pending
debit,26.06,123.49,Newcastle,Australia,1169,12/31/2015,24992,403,62621,0.21,1,129.9900055,123.49,26.06,oceania,complete
transfer,89.29,189.98,Registro,Brasil,1180,5/28/2015,10116,191,25275,0.47,2,199.9799957,189.98,89.29,south america,suspected fraud
debit,32.48,123.49,Porirua,Nueva Zelanda,1182,3/26/2016,30851,403,77102,0.26,1,129.9900055,123.49,32.48,oceania,complete
transfer,86.24,176,Ad Diwem,Sudán,1250,10/10/2016,44452,502,110981,0.49,4,200,176,86.24,north africa,suspected fraud
debit,83.15,296.95,Annecy,Francia,1261,6/16/2015,11378,365,28449,0.28,5,299.9500122,296.95,83.15,western europe,complete
debit,31.79,120.89,Melbourne,Australia,1271,3/16/2016,30172,403,75410,0.26,1,129.9900055,120.89,31.79,oceania,complete
transfer,74.09,284.95,Buenos Aires,Argentina,1273,4/30/2015,8221,44,20537,0.26,5,299.9500122,284.95,74.09,south america,processing
transfer,95.02,197.95,Newcastle,Australia,1306,2/23/2016,28657,627,71724,0.48,5,199.9499969,197.95,95.02,oceania,pending
debit,65.83,137.15,Fuenlabrada,España,1325,8/14/2015,15462,273,38639,0.48,5,139.9499969,137.15,65.83,southern europe,complete
transfer,43.5,149.99,Wuhan,China,1383,12/16/2015,23967,191,59998,0.29,2,199.9799957,149.99,43.5,eastern asia,processing
debit,106.99,260.96,Le Bouscat,Francia,1408,6/18/2017,61596,365,154018,0.41,5,299.9500122,260.96,106.99,western europe,complete
transfer,-248,160,Bur Sudan,Sudán,1410,9/14/2016,42626,502,106390,-1.55,4,200,160,-248,north africa,pending
transfer,66.89,136.5,Camagüey,Cuba,1425,1/31/2017,52166,642,130341,0.49,5,150,136.5,66.89,caribbean,pending
payment,42.99,122.84,Cape Town,SudAfrica,1429,10/15/2016,44771,835,111824,0.35,4,127.9599991,122.84,42.99,southern africa,pending payment
debit,96.37,283.45,Barcelona,España,1445,8/28/2015,16378,365,40891,0.34,5,299.9500122,283.45,96.37,southern europe,complete
transfer,28.85,128.22,Houston,Estados Unidos,1509,5/8/2016,33824,278,84424,0.23,3,134.9700012,128.22,28.85,us center,suspected fraud
debit,72.6,200,Nkongsamba,Camerún,1555,10/20/2016,45138,502,112738,0.36,5,250,200,72.6,central africa,complete
debit,179.98,374.96,Leicester,Reino Unido,1595,9/9/2015,17211,191,43053,0.48,5,499.9500122,374.96,179.98,northern europe,complete
debit,84.14,494.95,Vannes,Francia,1622,8/10/2015,15202,191,38024,0.17,5,499.9500122,494.95,84.14,western europe,complete
transfer,133.91,278.97,Gilbert,Estados Unidos,1636,4/2/2016,31364,191,78398,0.48,3,299.9700012,278.97,133.91,west of usa,suspected fraud
transfer,-32.93,96,Wollongong,Australia,1664,11/2/2015,20918,502,52260,-0.34,2,100,96,-32.93,oceania,pending
transfer,21.64,65.58,Sorocaba,Brasil,1695,2/6/2017,52601,627,131482,0.33,2,79.98000336,65.58,21.64,south america,processing
transfer,91.79,339.97,Newcastle,SudAfrica,1758,11/22/2016,47343,191,118360,0.27,4,399.9599915,339.97,91.79,southern africa,processing
debit,5.22,52.19,Melbourne,Australia,1763,12/13/2015,23706,365,59305,0.1,1,59.99000168,52.19,5.22,oceania,complete
transfer,-27.88,72.78,Lismore,Australia,1801,3/24/2016,30713,627,76715,-0.38,2,79.98000336,72.78,-27.88,oceania,processing
debit,40.04,114.39,Angeles City,Filipinas,1839,12/14/2015,23807,403,59572,0.35,1,129.9900055,114.39,40.04,southeast asia,complete
transfer,75.43,163.98,New Plymouth,Nueva Zelanda,1865,3/27/2016,30963,191,77387,0.46,2,199.9799957,163.98,75.43,oceania,pending
debit,-105.78,120.89,Dalian,China,1868,1/7/2016,25433,403,63711,-0.88,1,129.9900055,120.89,-105.78,eastern asia,complete
transfer,27.71,79.18,Sarkand,Kazajistán,1880,10/31/2016,45863,627,114641,0.35,2,79.98000336,79.18,27.71,central asia,processing
debit,99.16,260.96,Reggio nell'Emilia,Italia,1902,8/23/2015,16093,365,40196,0.38,5,299.9500122,260.96,99.16,southern europe,complete
transfer,23.49,87,Mixco,Guatemala,1975,3/7/2015,4487,502,11226,0.27,2,100,87,23.49,central america,processing
transfer,-12.38,75.98,Guarulhos,Brasil,2013,2/20/2017,53568,627,133877,-0.16,2,79.98000336,75.98,-12.38,south america,suspected fraud
debit,17.82,53.99,Amsterdam,Países Bajos,2028,8/1/2015,14551,365,36402,0.33,1,59.99000168,53.99,17.82,western europe,complete
transfer,178.58,379.96,Shinyanga,Tanzania,2041,9/17/2016,42882,191,107084,0.47,4,399.9599915,379.96,178.58,east africa,processing
transfer,55.44,198,Strasbourg,Francia,2048,9/4/2017,66959,502,167372,0.28,4,200,198,55.44,western europe,canceled
transfer,68.98,149.96,Managua,Nicaragua,2053,6/4/2017,60673,627,151869,0.46,5,199.9499969,149.96,68.98,central america,pending
debit,54.77,165.96,Cairo,Egipto,2091,10/18/2016,44981,627,112334,0.33,5,199.9499969,165.96,54.77,north africa,on hold
transfer,46.29,94.46,Lagos,Nigeria,2106,12/8/2016,48468,885,121217,0.49,4,99.95999908,94.46,46.29,west africa,pending
debit,184.48,409.96,Mulhouse,Francia,2170,10/7/2015,19168,191,47903,0.45,5,499.9500122,409.96,184.48,western europe,complete
transfer,21.77,79.18,Pitalito,Colombia,2200,4/19/2015,7411,627,18572,0.28,2,79.98000336,79.18,21.77,south america,processing
transfer,14.96,237.5,Bagdad,Irak,2214,10/13/2016,44617,502,111395,0.06,5,250,237.5,14.96,west asia,pending
payment,6.22,163.77,Shenzhen,China,2240,11/19/2015,22076,365,55227,0.04,3,179.9700012,163.77,6.22,eastern asia,pending payment
debit,-19.17,269.96,Torrevieja,España,2256,9/16/2015,17726,365,44297,-0.07,5,299.9500122,269.96,-19.17,southern europe,complete
debit,42.31,120.89,Reutlingen,Alemania,2270,8/6/2017,65011,403,162500,0.35,1,129.9900055,120.89,42.31,western europe,complete
transfer,59.5,212.5,Ciudad del Carmen,México,2291,5/10/2015,8906,502,22214,0.28,5,250,212.5,59.5,central america,processing
transfer,24.35,69.58,Tamworth,Australia,2292,12/13/2015,23751,627,59438,0.35,2,79.98000336,69.58,24.35,oceania,pending
transfer,36.85,99.58,Chihuahua,México,2329,4/6/2017,56618,365,141623,0.37,2,119.9800034,99.58,36.85,central america,processing
transfer,100.79,359.96,Afragola,Italia,2364,10/13/2015,19528,191,48809,0.28,4,399.9599915,359.96,100.79,southern europe,pending
debit,12.09,120.89,Kütahya,Turquía,2454,8/30/2016,41608,403,103859,0.1,1,129.9900055,120.89,12.09,west asia,complete
transfer,118.06,245.96,Cartago,Colombia,2538,4/6/2015,6522,365,16305,0.48,5,299.9500122,245.96,118.06,south america,suspected fraud
payment,36.23,170.07,Tangerang,Indonesia,2546,4/1/2016,31296,365,78230,0.21,3,179.9700012,170.07,36.23,southeast asia,pending payment
debit,89.09,296.95,Amberes,Bélgica,2550,6/11/2015,11083,365,27736,0.3,5,299.9500122,296.95,89.09,western europe,complete
debit,-824.86,299.95,Cologne,Alemania,2610,6/24/2015,11968,365,29901,-2.75,5,299.9500122,299.95,-824.86,western europe,complete
transfer,18,239.95,Tegucigalpa,Honduras,2643,4/13/2017,57128,818,142889,0.08,5,239.9499969,239.95,18,central america,processing
transfer,43.16,166,Messina,Italia,2682,9/24/2015,18237,502,45583,0.26,4,200,166,43.16,southern europe,canceled
debit,99.36,293.95,Makhachkala,Rusia,2719,10/10/2016,44442,365,110959,0.34,5,299.9500122,293.95,99.36,eastern europe,complete
transfer,63.5,235.2,Taza,Marruecos,2728,11/29/2016,47840,565,119624,0.27,4,280,235.2,63.5,north africa,suspected fraud
transfer,11.46,181.95,Las Tunas,Cuba,2737,3/30/2017,56172,627,140494,0.06,5,199.9499969,181.95,11.46,caribbean,pending
transfer,16.02,51.18,Mexico City,México,2741,1/20/2017,51396,828,128444,0.31,2,63.97999954,51.18,16.02,central america,processing
transfer,79.16,272.97,San Jose,Estados Unidos,2784,8/14/2016,40495,191,101052,0.29,3,299.9700012,272.97,79.16,west of usa,suspected fraud
transfer,-24.82,132,Ottawa,Canada,2805,12/17/2016,49075,502,122703,-0.19,3,150,132,-24.82,canada,suspected fraud
transfer,87.28,193.95,Atlixco,México,2813,2/22/2015,3625,627,9026,0.45,5,199.9499969,193.95,87.28,central america,suspected fraud
transfer,25.48,98,Teresópolis,Brasil,2817,2/12/2015,2911,502,7273,0.26,2,100,98,25.48,south america,suspected fraud
debit,218.48,474.95,Montreuil,Francia,2823,9/13/2017,67566,191,168920,0.46,5,499.9500122,474.95,218.48,western europe,complete
debit,40.89,86.99,Parma,Italia,2918,8/14/2015,15421,191,38553,0.47,1,99.98999786,86.99,40.89,southern europe,complete
debit,54.34,123.49,Riyadh,Arabia Saudí,2985,10/28/2016,45668,403,114148,0.44,1,129.9900055,123.49,54.34,west asia,complete
debit,-91.51,114.39,Manukau City,Nueva Zelanda,3029,3/28/2016,30997,403,77469,-0.8,1,129.9900055,114.39,-91.51,oceania,complete
transfer,58.19,232.76,Las Rozas de Madrid,España,3064,7/5/2017,62817,365,157066,0.25,4,239.9600067,232.76,58.19,southern europe,pending
transfer,-100.83,208.77,Uvarovo,Rusia,3066,11/15/2016,46864,365,117157,-0.48,4,239.9600067,208.77,-100.83,eastern europe,canceled
transfer,28.87,151.96,Carpentras,Francia,3071,7/11/2017,63220,627,158064,0.19,4,159.9600067,151.96,28.87,western europe,canceled
debit,29.1,290.95,Sterlitamak,Rusia,3141,10/16/2016,44816,365,111953,0.1,5,299.9500122,290.95,29.1,eastern europe,complete
transfer,-1.44,119.98,Belgaum,India,3153,11/3/2015,21016,365,52520,-0.01,2,119.9800034,119.98,-1.44,south asia,processing
debit,5.28,52.79,Corlu,Turquía,3172,12/28/2016,49806,365,124509,0.1,1,59.99000168,52.79,5.28,west asia,complete
transfer,145.53,464.95,Valenzuela,Filipinas,3204,3/9/2016,29731,191,74379,0.31,5,499.9500122,464.95,145.53,southeast asia,pending
debit,14.7,293.95,Madrid,España,3206,8/2/2017,64677,365,161667,0.05,5,299.9500122,293.95,14.7,southern europe,complete
transfer,18.13,40.29,Elmhurst,Estados Unidos,3222,7/6/2016,37845,924,94445,0.45,3,47.97000122,40.29,18.13,us center,suspected fraud
transfer,-69.87,116.44,Tourcoing,Francia,3246,6/22/2015,11822,282,29569,-0.6,4,127.9599991,116.44,-69.87,western europe,pending
debit,55.41,113.09,Ho Chi Minh City,Vietnam,3275,12/25/2015,24552,403,61470,0.49,1,129.9900055,113.09,55.41,southeast asia,complete
debit,11.41,131.16,Annaba,Argelia,3283,12/28/2016,49857,825,124661,0.09,5,159.9499969,131.16,11.41,north africa,complete
payment,22.41,74.68,Pasco,Estados Unidos,3296,6/11/2016,36146,278,90273,0.3,2,89.98000336,74.68,22.41,west of usa,pending payment
transfer,35.62,284.95,Saltillo,México,3329,4/1/2015,6176,365,15435,0.13,5,299.9500122,284.95,35.62,central america,suspected fraud
debit,36.08,409.96,Viena,Austria,3364,7/30/2017,64531,191,161304,0.09,5,499.9500122,409.96,36.08,western europe,complete
debit,84.98,169.96,Bandundu,República Democrática del Congo,3372,11/6/2016,46308,627,115752,0.5,5,199.9499969,169.96,84.98,central africa,complete
transfer,91.88,187.5,Quixadá,Brasil,3375,5/27/2015,10007,502,24992,0.49,5,250,187.5,91.88,south america,pending
transfer,43.18,89.96,Sofia,Bulgaria,3471,12/4/2016,48193,905,120515,0.48,4,99.95999908,89.96,43.18,eastern europe,canceled
transfer,-11.47,70.38,Santiago de Cuba,Cuba,3484,5/30/2017,60317,627,150929,-0.16,2,79.98000336,70.38,-11.47,caribbean,processing
transfer,8.76,99.58,Philadelphia,Estados Unidos,3528,7/27/2016,39271,627,98043,0.09,3,119.9700012,99.58,8.76,east of usa,suspected fraud
transfer,31.84,90.96,Granada,España,3535,8/11/2015,15231,93,38097,0.35,4,99.95999908,90.96,31.84,southern europe,pending
transfer,31.25,111.6,Pretoria,SudAfrica,3594,9/2/2016,41827,564,104416,0.28,4,120,111.6,31.25,southern africa,pending
debit,70.14,207.5,Foumban,Camerún,3597,9/3/2016,41893,502,104569,0.34,5,250,207.5,70.14,central africa,complete
transfer,27.54,67.17,Mogadishu,Somalia,3624,12/14/2016,48901,810,122273,0.41,4,79.95999908,67.17,27.54,east africa,processing
debit,66.29,254.96,Warsaw,Polonia,3659,9/6/2016,42087,365,105073,0.26,5,299.9500122,254.96,66.29,eastern europe,complete
transfer,69.68,158.37,Cincinnati,Estados Unidos,3800,4/21/2016,32617,365,81596,0.44,3,179.9700012,158.37,69.68,east of usa,suspected fraud
transfer,22.39,63.98,Lahore,Pakistán,3815,1/30/2016,27007,825,67646,0.35,2,63.97999954,63.98,22.39,south asia,pending
debit,100.37,296.95,Cholet,Francia,3868,10/19/2015,19973,365,49932,0.34,5,299.9500122,296.95,100.37,western europe,complete
debit,-19.07,116.99,Termez,Uzbekistán,3905,9/9/2016,42271,403,105539,-0.16,1,129.9900055,116.99,-19.07,central asia,complete
debit,29.1,290.95,San Sebastian,España,3942,6/3/2015,10502,365,26313,0.1,5,299.9500122,290.95,29.1,southern europe,complete
debit,106.9,296.95,Bochum,Alemania,3961,8/19/2015,15787,365,39463,0.36,5,299.9500122,296.95,106.9,western europe,complete
transfer,9.84,98.38,Makati,Filipinas,3985,3/12/2016,29871,365,74735,0.1,2,119.9800034,98.38,9.84,southeast asia,pending
transfer,78.28,173.96,San Miguelito,Panamá,3990,4/15/2017,57242,627,143183,0.45,5,199.9499969,173.96,78.28,central america,pending
transfer,41.28,96,Santo Domingo,República Dominicana,3997,5/22/2017,59742,502,149496,0.43,2,100,96,41.28,caribbean,processing
debit,29.74,114.39,K'ut'aisi,Georgia,4005,12/25/2016,49598,403,123961,0.26,1,129.9900055,114.39,29.74,west asia,complete
transfer,89.17,181.98,Ranchi,India,4029,12/29/2015,24853,191,62257,0.49,2,199.9799957,181.98,89.17,south asia,pending
debit,-169.64,113.09,Estambul,Turquía,4062,9/23/2016,43257,403,108061,-1.5,1,129.9900055,113.09,-169.64,west asia,complete
debit,82.15,186.71,Cotonou,Benín,4104,12/2/2016,48042,116,120131,0.44,5,224.9499969,186.71,82.15,west africa,on hold
transfer,35.99,71.98,Tegucigalpa,Honduras,4140,3/31/2017,56217,627,140615,0.5,2,79.98000336,71.98,35.99,central america,processing
transfer,68.59,188.95,São Paulo,Brasil,4209,4/3/2015,6358,627,15921,0.36,5,199.9499969,188.95,68.59,south america,pending
debit,242.48,484.95,Montpellier,Francia,4210,7/29/2017,64451,191,161109,0.5,5,499.9500122,484.95,242.48,western europe,complete
payment,-115.6,170,Tegucigalpa,Honduras,4232,3/21/2017,55511,502,138833,-0.68,4,200,170,-115.6,central america,pending payment
transfer,87.12,240,Santo Domingo,República Dominicana,4249,2/2/2017,52321,502,130737,0.36,5,250,240,87.12,caribbean,suspected fraud
transfer,-89.99,224.96,Arequipa,Perú,4280,5/1/2017,58298,365,145886,-0.4,5,299.9500122,224.96,-89.99,south america,suspected fraud
debit,39.91,118.08,Mahajanga,Madagascar,4296,10/11/2016,44496,886,111088,0.34,5,124.9499969,118.08,39.91,east africa,complete
debit,22.5,225,Lokossa,Benín,4398,12/10/2016,48608,502,121561,0.1,5,250,225,22.5,west africa,complete
debit,12.87,207.5,Maiduguri,Nigeria,4399,11/12/2016,46667,502,116672,0.06,5,250,207.5,12.87,west africa,complete
transfer,29.51,65.58,Hobart,Australia,4402,3/31/2016,31211,627,77993,0.45,2,79.98000336,65.58,29.51,oceania,pending
transfer,-790.42,464.95,Mersin,Turquía,4438,9/16/2016,42777,191,106778,-1.7,5,499.9500122,464.95,-790.42,west asia,pending
transfer,38,379.96,Erftstadt,Alemania,4460,9/5/2017,67046,191,167612,0.1,4,399.9599915,379.96,38,western europe,pending
transfer,6.64,165.98,Caloocan,Filipinas,4464,10/31/2015,20773,191,51911,0.04,2,199.9799957,165.98,6.64,southeast asia,processing
debit,54.05,122.84,Dunedin,Nueva Zelanda,4510,3/28/2016,30966,403,77398,0.44,1,129.9900055,122.84,54.05,oceania,complete
transfer,92.97,226.76,Hurghada,Egipto,4533,9/6/2016,42101,365,105115,0.41,4,239.9600067,226.76,92.97,north africa,pending
transfer,17.13,71.98,Petapa,Guatemala,4539,3/28/2015,5893,627,14655,0.24,2,79.98000336,71.98,17.13,central america,processing
debit,97.33,287.95,Florence,Italia,4563,9/27/2015,18448,365,46117,0.34,5,299.9500122,287.95,97.33,southern europe,complete
debit,41.8,474.95,Gdynia,Polonia,4596,11/17/2016,47002,191,117458,0.09,5,499.9500122,474.95,41.8,eastern europe,complete
transfer,8.26,131.17,Dire Dawa,Etiopía,4612,11/24/2016,47493,627,118732,0.06,4,159.9600067,131.17,8.26,east africa,suspected fraud
debit,58.5,116.99,Semarang,Indonesia,4618,2/13/2016,27957,403,69967,0.5,1,129.9900055,116.99,58.5,southeast asia,complete
transfer,42.63,87,Nelson,Nueva Zelanda,4627,3/28/2016,31018,502,77528,0.49,2,100,87,42.63,oceania,processing
payment,13.2,132,Tlaquepaque,México,4673,3/29/2015,5991,502,14921,0.1,3,150,132,13.2,central america,pending payment
debit,53.5,127.39,Exeter,Reino Unido,4695,8/29/2015,16446,403,41066,0.42,1,129.9900055,127.39,53.5,northern europe,complete
debit,32.76,109.19,Castrop-Rauxel,Alemania,4697,8/26/2017,66351,403,165859,0.3,1,129.9900055,109.19,32.76,western europe,complete
transfer,38.41,116.38,Cainta,Filipinas,4700,1/9/2016,25606,365,64151,0.33,2,119.9800034,116.38,38.41,southeast asia,processing
payment,-122.73,79.18,Bursa,Turquía,4741,10/25/2016,45461,627,113598,-1.55,2,79.98000336,79.18,-122.73,west asia,pending payment
transfer,54.46,173.98,Mackay,Australia,4756,12/2/2015,22988,191,57534,0.31,2,199.9799957,173.98,54.46,oceania,processing
transfer,-22.5,449.96,Cotia,Brasil,4781,5/7/2015,8636,191,21551,-0.05,5,499.9500122,449.96,-22.5,south america,processing
transfer,-58.31,245,Monterrey,México,4784,4/14/2017,57152,502,142954,-0.24,5,250,245,-58.31,central america,processing
debit,-38.92,118.29,Newcastle,Australia,4807,2/4/2016,27357,403,68507,-0.33,1,129.9900055,118.29,-38.92,oceania,complete
transfer,-18.6,74.38,Eskisehir,Turquía,4808,10/20/2016,45126,572,112704,-0.25,2,79.98000336,74.38,-18.6,west asia,pending
debit,49.76,113.09,Neijiang,China,4813,2/5/2016,27457,403,68738,0.44,1,129.9900055,113.09,49.76,eastern asia,complete
transfer,63.74,424.96,Jiangyan,China,4841,12/23/2015,24453,191,61194,0.15,5,499.9500122,424.96,63.74,eastern asia,canceled
debit,3.49,290.95,Pertuis,Francia,4842,7/22/2015,13907,365,34810,0.01,5,299.9500122,290.95,3.49,western europe,complete
transfer,182.34,387.96,Turin,Italia,4848,7/26/2017,64222,191,160566,0.47,4,399.9599915,387.96,182.34,southern europe,pending
transfer,-109.42,230.36,Cologne,Alemania,4909,7/5/2017,62786,365,156977,-0.48,4,239.9600067,230.36,-109.42,western europe,canceled
transfer,60.9,210,Valencia,Venezuela,4998,5/10/2015,8847,502,22094,0.29,5,250,210,60.9,south america,processing
transfer,30.8,280,Santiago de Chile,Chile,5011,3/23/2017,55636,565,139149,0.11,5,350,280,30.8,south america,processing
debit,172.18,419.96,Leipzig,Alemania,5036,8/31/2017,66702,191,166720,0.41,5,499.9500122,419.96,172.18,western europe,complete
transfer,72.08,232.5,Asahikawa,japan,5074,11/6/2015,21193,502,53008,0.31,5,250,232.5,72.08,eastern asia,pending
transfer,0,99,Monterrey,México,5088,5/5/2017,58623,502,146742,0,2,100,99,0,central america,processing
transfer,32.79,131.16,Borujerd,Irán,5089,9/27/2016,43561,276,108786,0.25,5,159.9499969,131.16,32.79,south asia,pending
transfer,83.98,167.96,Santiago de Cuba,Cuba,5118,1/15/2015,973,627,2420,0.5,5,199.9499969,167.96,83.98,caribbean,pending
payment,-184.78,263.97,Ugep,Nigeria,5197,10/4/2016,44046,191,110025,-0.7,3,299.9700012,263.97,-184.78,west africa,pending payment
transfer,207.48,414.96,Antipolo,Filipinas,5243,12/15/2015,23886,191,59793,0.5,5,499.9500122,414.96,207.48,southeast asia,pending
debit,122.98,299.95,Marbella,España,5246,8/25/2015,16218,365,40487,0.41,5,299.9500122,299.95,122.98,southern europe,complete
debit,-29.38,120.89,Tengzhou,China,5270,11/11/2015,21522,403,53808,-0.24,1,129.9900055,120.89,-29.38,eastern asia,complete
transfer,-190.65,123,Mixco,Guatemala,5274,5/13/2015,9063,564,22602,-1.55,5,150,123,-190.65,central america,suspected fraud
debit,12.28,122.84,Mersin,Turquía,5295,9/10/2016,42353,403,105750,0.1,1,129.9900055,122.84,12.28,west asia,complete
transfer,39.15,346.5,Juárez,México,5301,2/21/2017,53576,565,133897,0.11,5,350,346.5,39.15,central america,processing
transfer,-265.6,166,Wad Madani,Sudán,5329,9/23/2016,43266,502,108079,-1.6,4,200,166,-265.6,north africa,processing
transfer,-283.47,472.45,Bagdad,Irak,5339,10/28/2016,45646,191,114090,-0.6,5,499.9500122,472.45,-283.47,west asia,pending
transfer,48,240,Mexico City,México,5364,5/15/2017,59301,502,148446,0.2,5,250,240,48,central america,processing
transfer,7.21,65.58,Apopa,El Salvador,5375,2/16/2017,53231,572,133008,0.11,2,79.98000336,65.58,7.21,central america,processing
debit,20.13,123.49,Adana,Turquía,5384,12/12/2016,48713,403,121833,0.16,1,129.9900055,123.49,20.13,west asia,complete
transfer,40.36,139.17,Sale,Marruecos,5418,9/19/2016,42971,627,107336,0.29,4,159.9600067,139.17,40.36,north africa,processing
transfer,140.98,299.95,León,Nicaragua,5421,3/26/2017,55876,365,139714,0.47,5,299.9500122,299.95,140.98,central america,processing
transfer,85.05,189,Jartum,Sudán,5474,9/28/2016,43599,502,108885,0.45,4,200,189,85.05,north africa,canceled
debit,10.07,114.39,Gold Coast,Australia,5582,11/7/2015,21267,403,53192,0.09,1,129.9900055,114.39,10.07,oceania,complete
transfer,47.04,98,Ajman,Emiratos Árabes Unidos,5598,10/8/2016,44316,502,110667,0.48,2,100,98,47.04,west asia,processing
transfer,36.26,111.58,Bornova,Turquía,5674,12/15/2016,48954,365,122405,0.33,2,119.9800034,111.58,36.26,west asia,canceled
debit,15.4,220,Ikot Ekpene,Nigeria,5687,10/26/2016,45506,502,113719,0.07,5,250,220,15.4,west africa,complete
transfer,70.2,180,Gloucester,Reino Unido,5707,9/11/2015,17363,502,43391,0.39,4,200,180,70.2,northern europe,canceled
payment,51.9,153.56,Melbourne,Australia,5728,12/26/2015,24661,627,61755,0.34,4,159.9600067,153.56,51.9,oceania,pending payment
transfer,170.98,379.96,Milan,Italia,5749,10/7/2015,19178,191,47915,0.45,4,399.9599915,379.96,170.98,southern europe,pending
debit,72.53,278.95,Astracán,Rusia,5767,12/29/2016,49936,365,124839,0.26,5,299.9500122,278.95,72.53,eastern europe,complete
debit,15.44,123.49,Daca,Bangladés,5801,1/3/2016,25163,403,63064,0.13,1,129.9900055,123.49,15.44,south asia,complete
